verdict,title,lot_string,grade_class,language,product_line,current_total,max_bid_total,max_bid_hammer,headroom,comp,n_sales_90d,last_sold,confidence,fc_comp,fc_n_sales,fc_last_sold,win_likely,floor,active_supply,bids,auction_ends_at,url,reason
BID,2000 Pokemon Movie Promo Ancient Mew CGC 10 GEM MINT,WA239 Lot: 12473,CGC10_GEM,EN,TCG,0.0,438.57,365.48,438.57,641.51,46,2026-08-05,0.97,300.0,140,2026-07-13,True,699.0,9,0,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/9eb7470a-8f6c-11f1-a249-06c6bf073787/2000-pokemon-movie-promo-ancient-mew-cgc-10-gem-mint,"liquid (46 sales/90d), headroom $439"
BID,2000 Pokemon Movie Promo Ancient Mew CGC 10 GEM MINT,WA239 Lot: 12472F1,CGC10_GEM,EN,TCG,0.0,438.57,365.48,438.57,641.51,46,2026-08-05,0.97,300.0,140,2026-07-13,True,699.0,9,0,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/1a02ad4e-905a-11f1-96f8-0a2225b56657/2000-pokemon-movie-promo-ancient-mew-cgc-10-gem-mint,"liquid (46 sales/90d), headroom $439"
BID,2000 Pokemon Movie Promo Ancient Mew CGC 10 GEM MINT,WA238 Lot: 10552,CGC10_GEM,EN,TCG,288.0,438.57,365.48,150.57,641.51,46,2026-08-05,0.97,300.0,140,2026-07-13,True,699.0,9,22,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/7df57514-8a21-11f1-8908-0a58a9feac02/2000-pokemon-movie-promo-ancient-mew-cgc-10-gem-mint,"liquid (46 sales/90d), headroom $151"
BID,2002 Pokemon Black Star Promo Center New York Ho-Oh #52 CGC 10 GEM MINT,WA239 Lot: 12735,CGC10_GEM,EN,TCG,0.0,88.42,73.68,88.42,141.06,15,2026-08-02,0.95,,,,,215.0,6,0,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/acca8762-90c5-11f1-a390-0aa538ae8de1/2002-pokemon-black-star-promo-center-new-york-ho-oh-52-cgc-10-gem-mint,"liquid (15 sales/90d), headroom $88"
BID,1999 Pokemon Japanese Neo Premium File Holo Feraligatr #160 CGC 10 GEM MINT,WA238 Lot: 10231,CGC10_GEM,JA,TCG,25.2,76.17,63.47,50.97,124.58,11,2026-07-13,0.87,74.4,20,2026-08-03,True,249.99,2,4,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/165db766-8ba9-11f1-9720-0a26c9219bf1/1999-pokemon-japanese-neo-premium-file-holo-feraligatr-160-cgc-10-gem-mint,"liquid (11 sales/90d), headroom $51"
BID,2000 Pokemon League Black Star Promo Team Rocket's Meowth #18 CGC 10 GEM MINT,WA239 Lot: 12356,CGC10_GEM,EN,TCG,0.0,57.98,48.32,57.98,100.0,6,2026-07-08,0.7,,,,,,,0,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/dd34cd9c-90fa-11f1-8fd4-0aefcd94e61d/2000-pokemon-league-black-star-promo-team-rockets-meowth-18-cgc-10-gem-mint,"liquid (6 sales/90d), headroom $58"
BID,1999 Pokemon Japanese Neo Premium File Holo Typhlosion #157 CGC 10 GEM MINT,WA238 Lot: 10226,CGC10_GEM,JA,TCG,49.2,89.19,74.33,39.99,143.12,11,2026-07-17,0.89,79.2,19,2026-08-03,True,135.0,7,4,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/16a9a932-8ba9-11f1-a1ff-060bc0e6328f/1999-pokemon-japanese-neo-premium-file-holo-typhlosion-157-cgc-10-gem-mint,"liquid (11 sales/90d), headroom $40"
BID,2000 Pokemon Black Star Promo Pikachu #27 CGC 10 GEM MINT,WA239 Lot: 12371,CGC10_GEM,EN,TCG,0.0,37.37,31.14,37.37,71.04,8,2026-08-05,0.87,30.8,40,2025-11-17,True,104.99,3,0,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/49cdc874-8fab-11f1-a8f0-0a58a9feac02/2000-pokemon-black-star-promo-pikachu-27-cgc-10-gem-mint,"liquid (8 sales/90d), headroom $37"
WATCH,2006 Pokemon EX Crystal Guardians Holo Celebi Gold Star #100 CGC 10 GEM MINT,WA238 Lot: 11910F1,CGC10_GEM,EN,TCG,3960.0,8944.29,7453.58,4984.29,13090.91,0,,0.35,7200.0,1,2026-06-08,True,,,13,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/0a7e84b4-8d2c-11f1-a05a-0a58a9feac02/2006-pokemon-ex-crystal-guardians-holo-celebi-gold-star-100-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2000 Pokemon Movie Promo Ancient Mew CGC 10 PRISTINE,WA238 Lot: 10552F2,CGC10_PRISTINE,EN,TCG,456.0,1545.83,1288.19,1089.83,2288.35,5,2026-08-05,0.74,1200.0,28,2026-06-15,True,3999.0,4,17,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/f6390650-8c59-11f1-bba5-02ffe517bc49/2000-pokemon-movie-promo-ancient-mew-cgc-10-pristine,"5 sales/90d — slow mover, bid only well under max"
WATCH,2000 Pokemon Movie Promo Ancient Mew CGC 10 PRISTINE,WA238 Lot: 10552F3,CGC10_PRISTINE,EN,TCG,480.0,1545.83,1288.19,1065.83,2288.35,5,2026-08-05,0.74,1200.0,28,2026-06-15,True,3999.0,4,23,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/f64ab8a0-8c59-11f1-8399-02fffb99a151/2000-pokemon-movie-promo-ancient-mew-cgc-10-pristine,"5 sales/90d — slow mover, bid only well under max"
WATCH,2002 Pokemon Legendary Collection Reverse Holo Abra #67 CGC 10 PRISTINE,WA239 Lot: 12823F2,CGC10_PRISTINE,EN,TCG,13.2,1814.16,1511.8,1800.96,2809.09,0,,0.35,1545.0,2,2025-03-31,True,,,5,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/5265524e-923b-11f1-9eb8-0a58a9feac02/2002-pokemon-legendary-collection-reverse-holo-abra-67-cgc-10-pristine,FC comps only — eBay sell-through unverified
WATCH,2000 Pokemon Gym Challenge 1st Edition Holo Blaine's Arcanine #1 CGC 10 PRISTINE,WA238 Lot: 10438,CGC10_PRISTINE,EN,TCG,2760.0,4097.88,3414.9,1337.88,6327.27,0,,0.35,3480.0,1,2025-07-07,True,,,24,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/31acea08-8629-11f1-b5be-02ba9858bad3/2000-pokemon-gym-challenge-1st-edition-holo-blaines-arcanine-1-cgc-10-pristine,FC comps only — eBay sell-through unverified
WATCH,1996 Pokemon Japanese Base Set Charmander #4 CGC 10 PRISTINE,WA239 Lot: 11564,CGC10_PRISTINE,JA,TCG,8.4,1123.73,936.44,1115.33,1745.45,0,,0.35,960.0,5,2026-05-04,True,,,3,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/5e3f441a-89c8-11f1-bc9e-0a9954e76c3b/1996-pokemon-japanese-base-set-charmander-4-cgc-10-pristine,FC comps only — eBay sell-through unverified
WATCH,2000 Pokemon Japanese Neo Premium File 2 Reverse Holo Pichu #172 CGC 10 PRISTINE,WA239 Lot: 12500,CGC10_PRISTINE,JA,TCG,6.0,875.89,729.91,869.89,1363.64,0,,0.35,750.0,2,2026-04-06,True,,,1,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/4f2d43c4-83a5-11f1-971b-02ba9858bad3/2000-pokemon-japanese-neo-premium-file-2-reverse-holo-pichu-172-cgc-10-pristine,FC comps only — eBay sell-through unverified
WATCH,2002 Pokemon Legendary Collection Reverse Holo Arcanine #36 CGC 10 GEM MINT,WA239 Lot: 12820F1,CGC10_GEM,EN,TCG,7.2,734.26,611.88,727.06,1145.45,0,,0.35,630.0,3,2025-09-01,True,,,2,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/215c4ae2-91c6-11f1-91f8-0a58a9feac02/2002-pokemon-legendary-collection-reverse-holo-arcanine-36-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2002 Pokemon Legendary Collection Reverse Holo Gastly #76 CGC 10 GEM MINT,WA239 Lot: 12827,CGC10_GEM,EN,TCG,6.0,684.69,570.57,678.69,1069.09,0,,0.35,588.0,3,2025-08-25,True,,,1,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/4f3cdfbe-83a5-11f1-bc4a-02ba9858bad3/2002-pokemon-legendary-collection-reverse-holo-gastly-76-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,1999 Pokemon Base Set Shadowless Pikachu #58 CGC 10 GEM MINT,WA238 Lot: 9721,CGC10_GEM,EN,TCG,62.4,341.32,284.43,278.92,515.8,5,2026-08-06,0.75,,,,,599.99,2,8,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/e351981a-81e9-11f1-a178-0a0f8b986c27/1999-pokemon-base-set-shadowless-pikachu-58-cgc-10-gem-mint,"5 sales/90d — slow mover, bid only well under max"
WATCH,2006 Pokemon EX Dragon Frontiers Reverse Holo Ekans #47 CGC 10 PRISTINE,WA238 Lot: 5810F1,CGC10_PRISTINE,EN,TCG,19.2,606.79,505.66,587.59,949.09,0,,0.35,522.0,2,2026-07-27,True,,,5,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/a76b1886-8dcd-11f1-ab44-0a58a9feac02/2006-pokemon-ex-dragon-frontiers-reverse-holo-ekans-47-cgc-10-pristine,FC comps only — eBay sell-through unverified
WATCH,2003 Pokemon Skyridge Reverse Holo Piloswine #24 CGC 10 PRISTINE,WA239 Lot: 12963F2,CGC10_PRISTINE,EN,TCG,6.0,571.39,476.16,565.39,894.55,0,,0.35,492.0,1,2025-10-27,True,,,1,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/f1018bac-920e-11f1-b714-0a58a9feac02/2003-pokemon-skyridge-reverse-holo-piloswine-24-cgc-10-pristine,FC comps only — eBay sell-through unverified
WATCH,2000 Pokemon Movie Promo Ancient Mew CGC 10 PRISTINE,WA238 Lot: 10552F1,CGC10_PRISTINE,EN,TCG,1290.0,1545.83,1288.19,255.83,2288.35,5,2026-08-05,0.74,1200.0,28,2026-06-15,True,3999.0,4,24,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/f63a8282-8c59-11f1-a49c-0aa6ce4c8731/2000-pokemon-movie-promo-ancient-mew-cgc-10-pristine,"5 sales/90d — slow mover, bid only well under max"
WATCH,1997 Pokemon Japanese Topsun Prism Holo Vaporeon #134 CGC 10 GEM MINT,WA239 Lot: 11735,CGC10_GEM,JA,TOPSUN,312.0,676.29,563.58,364.29,1040.5,3,2026-07-01,0.48,,,,,,,5,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/f52b584a-9054-11f1-b20f-0a58a9feac02/1997-pokemon-japanese-topsun-prism-holo-vaporeon-134-cgc-10-gem-mint,"3 sales/90d — slow mover, bid only well under max"
WATCH,2003 Pokemon Ex Sandstorm Reverse Holo Electabuzz #35 CGC 10 GEM MINT,WA238 Lot: 11294,CGC10_GEM,EN,TCG,21.6,436.84,364.04,415.24,687.27,0,,0.35,378.0,2,2026-07-13,True,,,8,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/4d457104-8a89-11f1-8ef3-02fff561b66f/2003-pokemon-ex-sandstorm-reverse-holo-electabuzz-35-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
